company_id,company_slug,company_name,website,yc_is_hiring,yc_job_count,url,normalized_url,page_type,discovery_source,confidence,http_status,evidence,checked_at
26861,100x,100x,https://100x.bot?utm_source=inbound&utm_medium=bookface&utm_campaign=yc&utm_id=122,True,0,https://www.ycombinator.com/companies/100x/jobs/QZCBBzZ-looking-for-a-front-end-engineer-to-join-our-bangalore-team,https://www.ycombinator.com/companies/100x/jobs/QZCBBzZ-looking-for-a-front-end-engineer-to-join-our-bangalore-team,yc_job,yc_job_posting,1.0,,"Looking for a front end engineer to join our Bangalore team | Bengaluru, KA, IN / Bengaluru, Karnataka, IN | US citizenship/visa not required",2026-05-06 19:56:30.584263+00:00
31098,10x-science,10x Science,https://10xscience.com,True,0,https://www.ycombinator.com/companies/10x-science/jobs/FK8wuOk-founding-engineer,https://www.ycombinator.com/companies/10x-science/jobs/FK8wuOk-founding-engineer,yc_job,yc_job_posting,1.0,,"Founding Engineer | San Francisco, CA, US / Menlo Park, CA, US | US citizen/visa only",2026-05-06 19:56:30.594029+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/Fb5zL8d-ai-internship-now-full-time-in-san-francisco,https://www.ycombinator.com/companies/14-ai/jobs/Fb5zL8d-ai-internship-now-full-time-in-san-francisco,yc_job,yc_job_posting,1.0,,"AI Internship (now, full time in San Francisco) | San Francisco, CA, US | US citizen/visa only",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/KoEfdhc-full-stack-engineering-internship-now-and-summer-2026,https://www.ycombinator.com/companies/14-ai/jobs/KoEfdhc-full-stack-engineering-internship-now-and-summer-2026,yc_job,yc_job_posting,1.0,,"Full Stack Engineering Internship (now and Summer 2026) | San Francisco, CA, US | US citizen/visa only",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/LADAAjI-tiktok-live-host-paid-hourly-remote,https://www.ycombinator.com/companies/14-ai/jobs/LADAAjI-tiktok-live-host-paid-hourly-remote,yc_job,yc_job_posting,1.0,,"TikTok Live Host (Paid Hourly, Remote) | Remote | US citizenship/visa not required",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/LMRasQY-founding-gtm,https://www.ycombinator.com/companies/14-ai/jobs/LMRasQY-founding-gtm,yc_job,yc_job_posting,1.0,,"Founding GTM | San Francisco, CA, US / Remote (US) | Will sponsor",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/nyx4rnH-ai-internship-now-and-summer-2026,https://www.ycombinator.com/companies/14-ai/jobs/nyx4rnH-ai-internship-now-and-summer-2026,yc_job,yc_job_posting,1.0,,"AI Internship (now and Summer 2026) | San Francisco, CA, US | Will sponsor",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/trxAQhG-ai-ops-internship-now-full-time-in-san-francisco,https://www.ycombinator.com/companies/14-ai/jobs/trxAQhG-ai-ops-internship-now-full-time-in-san-francisco,yc_job,yc_job_posting,1.0,,"AI Ops Internship (now, full time in San Francisco) | San Francisco, CA, US | Will sponsor",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/UCtO0nF-chef-intern-gummies-production-now-and-summer-2026-housing-provided,https://www.ycombinator.com/companies/14-ai/jobs/UCtO0nF-chef-intern-gummies-production-now-and-summer-2026-housing-provided,yc_job,yc_job_posting,1.0,,"Chef Intern (Gummies Production) (now and Summer 2026, housing provided) | San Francisco, CA, US | Will sponsor",2026-05-06 19:56:30.594709+00:00
29341,14-ai,14.ai,https://14.ai,True,0,https://www.ycombinator.com/companies/14-ai/jobs/VENFEkn-founding-engineer,https://www.ycombinator.com/companies/14-ai/jobs/VENFEkn-founding-engineer,yc_job,yc_job_posting,1.0,,"Founding engineer | San Francisco, CA, US | Will sponsor",2026-05-06 19:56:30.594709+00:00
