company_id,company_slug,company_name,website,yc_is_hiring,yc_job_count,career_page_url,normalized_url,page_type,discovery_source,confidence,http_status,evidence,is_primary,observed_source_count,checked_at
1274,airfordable,Airfordable,http://www.airfordable.com,False,0,https://v2.airfordable.com/careers,https://v2.airfordable.com/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:33.429014+00:00
26880,airhart-aeronautics,Airhart Aeronautics,https://www.airhartaero.com/,True,0,https://airhartaero.com/careers,https://airhartaero.com/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,True,1,2026-05-06 19:56:33.642901+00:00
30549,airweave,Airweave,https://airweave.ai,True,0,https://airweave.ai/careers,https://airweave.ai/careers,careers_page,homepage_link,0.84,200,CAREERS,True,2,2026-05-06 19:56:33.888405+00:00
748,akido-labs,Akido Labs,http://akidolabs.com,False,0,https://www.akidolabs.com/careers,https://www.akidolabs.com/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,True,1,2026-05-06 19:56:33.920850+00:00
22077,akiflow,Akiflow,https://akiflow.com,False,0,https://akiflow.com/careers,https://akiflow.com/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,True,1,2026-05-06 19:56:33.922117+00:00
22077,akiflow,Akiflow,https://akiflow.com,False,0,https://akiflow.com/careers/full-stack-developer,https://akiflow.com/careers/full-stack-developer,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:33.922117+00:00
27968,alaan,Alaan,https://www.alaan.com/,True,0,https://www.alaan.com/careers,https://www.alaan.com/careers,careers_page,homepage_link,0.84,200,Careers Explore exciting opportunities to join our team.,True,2,2026-05-06 19:56:34.152216+00:00
27968,alaan,Alaan,https://www.alaan.com/,True,0,https://www.alaan.com/ar-ae/careers,https://www.alaan.com/ar-ae/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.152216+00:00
30704,albacore-inc,Albacore Inc.,https://www.albacore.inc,False,0,https://www.albacore.inc/careers,https://www.albacore.inc/careers,careers_page,homepage_link,0.84,200,Careers,True,1,2026-05-06 19:56:34.174618+00:00
22630,alba-orbital,Alba Orbital,https://www.albaorbital.com,False,0,https://www.albaorbital.com/careers,https://www.albaorbital.com/careers,careers_page,homepage_link,0.84,200,Careers,True,2,2026-05-06 19:56:34.177334+00:00
691,alchemy,Alchemy,http://www.alchemynano.com,False,0,http://www.alchemynano.com/careers,http://www.alchemynano.com/careers,careers_page,homepage_link,0.84,200,Careers at Alchemy View currently open positions at Alchemy.,True,2,2026-05-06 19:56:34.402785+00:00
691,alchemy,Alchemy,http://www.alchemynano.com,False,0,https://www.alchemynano.com/jobs/director-of-marketing,https://www.alchemynano.com/jobs/director-of-marketing,jobs_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.402785+00:00
691,alchemy,Alchemy,http://www.alchemynano.com,False,0,https://www.alchemynano.com/jobs/logistics-assembly-supervisor,https://www.alchemynano.com/jobs/logistics-assembly-supervisor,jobs_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.402785+00:00
1509,alemhealth,AlemHealth,https://www.alemhealth.com,True,0,https://www.alemhealth.com/careers,https://www.alemhealth.com/careers,careers_page,homepage_link,0.84,200,Careers,True,2,2026-05-06 19:56:34.404668+00:00
1509,alemhealth,AlemHealth,https://www.alemhealth.com,True,0,https://www.alemhealth.com/fr/careers,https://www.alemhealth.com/fr/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.404668+00:00
24428,aleph,Aleph,https://getaleph.com/,True,0,https://getaleph.com/careers,https://getaleph.com/careers,careers_page,homepage_link,0.84,200,Careers Hiring! Explore open roles for shaping the future of FP&A,True,2,2026-05-06 19:56:34.409558+00:00
29263,alex-com,Alex,https://alex.com,True,0,https://alex.com/careers,https://alex.com/careers,careers_page,homepage_link,0.84,200,Careers Discover open roles at Alex,True,2,2026-05-06 19:56:34.439859+00:00
636,algolia,Algolia,http://www.algolia.com,True,0,http://www.algolia.com/careers,http://www.algolia.com/careers,careers_page,homepage_link,0.84,200,Careers,True,1,2026-05-06 19:56:34.682989+00:00
636,algolia,Algolia,http://www.algolia.com,True,0,https://www.algolia.com/careers/benefits,https://www.algolia.com/careers/benefits,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.682989+00:00
636,algolia,Algolia,http://www.algolia.com,True,0,https://www.algolia.com/de/careers,https://www.algolia.com/de/careers,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.682989+00:00
24094,algouniversity,AlgoUniversity,http://algouniversity.com/,True,0,https://www.algouniversity.com/careers/,https://www.algouniversity.com/careers,careers_page,common_path_probe,0.65,200,/careers,True,1,2026-05-06 19:56:34.711509+00:00
28844,alguna,Alguna,https://alguna.com,True,0,https://alguna.com/careers,https://alguna.com/careers,careers_page,common_path_probe,0.65,200,/careers,True,1,2026-05-06 19:56:34.945812+00:00
27840,alloy,Alloy,https://alloy.app,False,0,https://alloy.app/careers,https://alloy.app/careers,careers_page,homepage_link,0.84,200,Careers,True,2,2026-05-06 19:56:34.967628+00:00
27840,alloy,Alloy,https://alloy.app,False,0,https://alloy.app/careers/pitch-us-a-role,https://alloy.app/careers/pitch-us-a-role,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.967628+00:00
27840,alloy,Alloy,https://alloy.app,False,0,https://alloy.app/careers/software-engineer,https://alloy.app/careers/software-engineer,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:34.967628+00:00
30430,almond-2,Almond,https://almond.bot/,False,0,https://almond.bot/careers,https://almond.bot/careers,careers_page,homepage_link,0.84,200,Careers,True,1,2026-05-06 19:56:35.204400+00:00
23270,alokai,Alokai,https://www.alokai.com,False,0,https://www.alokai.com/careers,https://www.alokai.com/careers,careers_page,homepage_link,0.84,200,Careers,True,2,2026-05-06 19:56:35.208892+00:00
23270,alokai,Alokai,https://www.alokai.com,False,0,https://alokai.com/career/roles,https://alokai.com/career/roles,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.208892+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career,https://alpas.ai/career,careers_page,sitemap,0.78,200,career-like URL in sitemap,True,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/business-development-manager-f-m-d,https://alpas.ai/career/business-development-manager-f-m-d,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/founders-associate-f-m-d,https://alpas.ai/career/founders-associate-f-m-d,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/internship-founders-associate,https://alpas.ai/career/internship-founders-associate,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/senior-backend-engineer-java,https://alpas.ai/career/senior-backend-engineer-java,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/senior-customer-success-manager-f-m-d,https://alpas.ai/career/senior-customer-success-manager-f-m-d,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/senior-machine-learning-engineer-f-m-d,https://alpas.ai/career/senior-machine-learning-engineer-f-m-d,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
23315,alpas,Alpas,https://alpas.ai/,False,0,https://alpas.ai/career/senior-software-engineer-f-m-d,https://alpas.ai/career/senior-software-engineer-f-m-d,careers_page,sitemap,0.78,200,career-like URL in sitemap,False,1,2026-05-06 19:56:35.224495+00:00
1970,alpha-vantage,Alpha Vantage,https://www.alphavantage.co/,True,0,https://www.alphavantage.co/careers/,https://www.alphavantage.co/careers,careers_page,common_path_probe,0.65,200,/careers,True,1,2026-05-06 19:56:35.458021+00:00
26769,alt-tex,ALT TEX,https://thealttex.com/,False,0,https://thealttex.com/careers,https://thealttex.com/careers,careers_page,homepage_link,0.84,200,Careers,True,2,2026-05-06 19:56:35.476954+00:00
