company_id,company_slug,company_name,website,url,normalized_url,url_key,url_kind,discovery_sources,source_event_count,confidence,fetch_priority,http_status,is_primary,is_active,first_seen_at,last_seen_at
1274,airfordable,Airfordable,http://www.airfordable.com,http://www.airfordable.com/careers,http://www.airfordable.com/careers,https://airfordable.com/careers,careers_page,['homepage_link'],1,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:33.429014+00:00,2026-05-06 19:56:33.429014+00:00
30549,airweave,Airweave,https://airweave.ai,https://airweave.ai/careers,https://airweave.ai/careers,https://airweave.ai/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:33.888405+00:00,2026-05-06 19:56:33.888405+00:00
27968,alaan,Alaan,https://www.alaan.com/,https://www.alaan.com/careers,https://www.alaan.com/careers,https://alaan.com/careers,careers_page,"['homepage_link', 'sitemap']",3,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.152216+00:00,2026-05-06 19:56:34.152216+00:00
30704,albacore-inc,Albacore Inc.,https://www.albacore.inc,https://www.albacore.inc/careers,https://www.albacore.inc/careers,https://albacore.inc/careers,careers_page,['homepage_link'],2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.174618+00:00,2026-05-06 19:56:34.174618+00:00
22630,alba-orbital,Alba Orbital,https://www.albaorbital.com,https://www.albaorbital.com/careers,https://www.albaorbital.com/careers,https://albaorbital.com/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.177334+00:00,2026-05-06 19:56:34.177334+00:00
691,alchemy,Alchemy,http://www.alchemynano.com,http://www.alchemynano.com/careers,http://www.alchemynano.com/careers,https://alchemynano.com/careers,careers_page,"['homepage_link', 'sitemap']",4,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.402785+00:00,2026-05-06 19:56:34.402785+00:00
1509,alemhealth,AlemHealth,https://www.alemhealth.com,https://www.alemhealth.com/careers,https://www.alemhealth.com/careers,https://alemhealth.com/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.404668+00:00,2026-05-06 19:56:34.404668+00:00
24428,aleph,Aleph,https://getaleph.com/,https://getaleph.com/careers,https://getaleph.com/careers,https://getaleph.com/careers,careers_page,"['homepage_link', 'sitemap']",3,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.409558+00:00,2026-05-06 19:56:34.409558+00:00
29263,alex-com,Alex,https://alex.com,https://alex.com/careers,https://alex.com/careers,https://alex.com/careers,careers_page,"['homepage_link', 'sitemap']",3,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.439859+00:00,2026-05-06 19:56:34.439859+00:00
636,algolia,Algolia,http://www.algolia.com,http://www.algolia.com/careers,http://www.algolia.com/careers,https://algolia.com/careers,careers_page,['homepage_link'],1,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.682989+00:00,2026-05-06 19:56:34.682989+00:00
27840,alloy,Alloy,https://alloy.app,https://alloy.app/careers,https://alloy.app/careers,https://alloy.app/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:34.967628+00:00,2026-05-06 19:56:34.967628+00:00
30430,almond-2,Almond,https://almond.bot/,https://almond.bot/careers,https://almond.bot/careers,https://almond.bot/careers,careers_page,['homepage_link'],1,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:35.204400+00:00,2026-05-06 19:56:35.204400+00:00
23270,alokai,Alokai,https://www.alokai.com,https://www.alokai.com/careers,https://www.alokai.com/careers,https://alokai.com/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:35.208892+00:00,2026-05-06 19:56:35.208892+00:00
26769,alt-tex,ALT TEX,https://thealttex.com/,https://thealttex.com/careers,https://thealttex.com/careers,https://thealttex.com/careers,careers_page,"['homepage_link', 'sitemap']",2,0.84,1.8399999999999999,200,True,True,2026-05-06 19:56:35.476954+00:00,2026-05-06 19:56:35.476954+00:00
22579,abacum,Abacum,https://www.abacum.ai/,https://www.abacum.ai/company/careers,https://www.abacum.ai/company/careers,https://abacum.ai/company/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:31.119319+00:00,2026-05-06 19:56:31.119319+00:00
29558,abel-police,Abel Police,http://abelpolice.com,https://abelpolice.com/careers,https://abelpolice.com/careers,https://abelpolice.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:31.361707+00:00,2026-05-06 19:56:31.361707+00:00
30958,absurd,Absurd,https://absurd.com/,https://absurd.com/careers,https://absurd.com/careers,https://absurd.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:31.380684+00:00,2026-05-06 19:56:31.380684+00:00
12242,acciojob,AccioJob,http://www.acciojob.com,https://acciojob.com/jobs,https://acciojob.com/jobs,https://acciojob.com/jobs,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:31.611325+00:00,2026-05-06 19:56:31.611325+00:00
25696,agency,Agency,https://GetAgency.com,https://getagency.com/careers,https://getagency.com/careers,https://getagency.com/careers,careers_page,['sitemap'],1,0.78,1.78,200,True,True,2026-05-06 19:56:32.873627+00:00,2026-05-06 19:56:32.873627+00:00
