id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
87714,23036,solo,Solo,https://www.ycombinator.com/companies/solo,Executive Assistant,/companies/solo/jobs/FHG6L0r-executive-assistant,https://www.ycombinator.com/companies/solo/jobs/FHG6L0r-executive-assistant,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D87714&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23036,US / Remote (US),Full-time,operations,,Operations,$52K - $116K,0.10%,3+ years,,US citizen/visa only,,False,7 months,
98003,23048,stoke-space,Stoke Space,https://www.ycombinator.com/companies/stoke-space,Full-Stack Software Developer (Svelte + Rust ),/companies/stoke-space/jobs/AY1u1hO-full-stack-software-developer-svelte-rust,https://www.ycombinator.com/companies/stoke-space/jobs/AY1u1hO-full-stack-software-developer-svelte-rust,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D98003&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23048,"Kent, WA, US",Full-time,eng,Full stack,Engineering,$154K - $289K,,3+ years,,US citizen/visa only,Rust; Svelte,False,23 days,
76061,23120,slash,Slash,https://www.ycombinator.com/companies/slash,Product Engineer: Core Banking,/companies/slash/jobs/HKHRb37-product-engineer-core-banking,https://www.ycombinator.com/companies/slash/jobs/HKHRb37-product-engineer-core-banking,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76061&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23120,San Francisco Office,Full-time,eng,Full stack,Engineering,$175K - $250K,,Any (new grads ok),,US citizen/visa only,,False,about 1 year,9 months
63231,23121,botbuilt,BotBuilt,https://www.ycombinator.com/companies/botbuilt,Software Infrastructure Engineer,/companies/botbuilt/jobs/ssohMWR-software-infrastructure-engineer,https://www.ycombinator.com/companies/botbuilt/jobs/ssohMWR-software-infrastructure-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D63231&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23121,"Durham, NC, US",Full-time,eng,Devops,Engineering,$90 - $110,,Any (new grads ok),,Will sponsor,Python; Docker,False,over 2 years,
63297,23121,botbuilt,BotBuilt,https://www.ycombinator.com/companies/botbuilt,Firmware Engineer,/companies/botbuilt/jobs/eH1oB3O-firmware-engineer,https://www.ycombinator.com/companies/botbuilt/jobs/eH1oB3O-firmware-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D63297&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23121,"Durham, NC, US",Full-time,eng,Embedded systems,Engineering,$80K - $110K,,1+ years,,Will sponsor,C++; Distributed Systems; Docker; Device Drivers,False,over 2 years,
63298,23121,botbuilt,BotBuilt,https://www.ycombinator.com/companies/botbuilt,Computer Vision and Optimization Engineer,/companies/botbuilt/jobs/Joi1bpi-computer-vision-and-optimization-engineer,https://www.ycombinator.com/companies/botbuilt/jobs/Joi1bpi-computer-vision-and-optimization-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D63298&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23121,"Durham, NC, US",Full-time,eng,Machine learning,Engineering,$90K - $130K,,1+ years,,Will sponsor,Computer Vision; Machine learning,False,over 2 years,
63514,23121,botbuilt,BotBuilt,https://www.ycombinator.com/companies/botbuilt,Mechatronics Engineer,/companies/botbuilt/jobs/thWY5Ph-mechatronics-engineer,https://www.ycombinator.com/companies/botbuilt/jobs/thWY5Ph-mechatronics-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D63514&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23121,"Durham, NC, US",Full-time,eng,Embedded systems,Engineering,$90K - $120K,,1+ years,,Will sponsor,C++; Distributed Systems; Docker; Device Drivers,False,over 2 years,
42152,23127,rulebricks,Rulebricks,https://www.ycombinator.com/companies/rulebricks,Founding Engineer,/companies/rulebricks/jobs/8EoS8qDo0-founding-engineer,https://www.ycombinator.com/companies/rulebricks/jobs/8EoS8qDo0-founding-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D42152&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23127,Palo Alto / Remote (US),Co-founder,eng,Full stack,Engineering,$120K - $150K,0.50% - 1.50%,Any (new grads ok),,US citizen/visa only,JavaScript; Python; Vue.js,False,over 5 years,
47083,23175,betterhalf,Betterhalf,https://www.ycombinator.com/companies/betterhalf,Senior React Native Engineer,/companies/betterhalf/jobs/MeczNZi-senior-react-native-engineer,https://www.ycombinator.com/companies/betterhalf/jobs/MeczNZi-senior-react-native-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D47083&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23175,Bangalore India,Full-time,eng,Frontend,Engineering,$20K - $50K,0.50%,1+ years,,US citizen/visa only,JavaScript; React; React Native,False,almost 5 years,
56693,23175,betterhalf,Betterhalf,https://www.ycombinator.com/companies/betterhalf,Senior Technical Growth Product Manager/ Growth Hacker,/companies/betterhalf/jobs/2IVL0FS-senior-technical-growth-product-manager-growth-hacker,https://www.ycombinator.com/companies/betterhalf/jobs/2IVL0FS-senior-technical-growth-product-manager-growth-hacker,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D56693&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23175,"Bengaluru, KA, IN",Full-time,product,,Product,$35K - $50K,0.10% - 1.00%,3+ years,,US citizenship/visa not required,,False,over 3 years,
43070,23190,biodock,Biodock,https://www.ycombinator.com/companies/biodock,Mid/Senior Fullstack Engineer,/companies/biodock/jobs/8DqWTLa-mid-senior-fullstack-engineer,https://www.ycombinator.com/companies/biodock/jobs/8DqWTLa-mid-senior-fullstack-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D43070&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=23190,"Astana, Astana, KZ / Remote (KZ; TR; UZ; TJ; KG; AZ)",Full-time,eng,Full stack,Engineering,$18K - $50K,,3+ years,,US citizenship/visa not required,GraphQL; JavaScript; MongoDB; React; TypeScript,False,over 5 years,over 1 year
