company_slug,company_name,url,page_kind,confidence,job_title,job_count,role_titles,http_status,parser_name,parser_version,classified_at,evidence
airfordable,Airfordable,https://www.airfordable.com/careers/,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.794946+00:00,"{""career_marker_hits"": 5, ""detail_marker_hits"": 0, ""domain"": ""airfordable.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 2, ""path"": ""/careers/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""A home to make travel possible for all | Airfordable"", ""url_kind"": ""careers_page""}"
airbyte,Airbyte,https://airbyte.com/company/careers,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.793584+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""airbyte.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/company/careers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Airbyte Careers | Build the Future of AI with Us"", ""url_kind"": ""careers_page""}"
agave,Agave,https://www.useagave.com/careers,job_listing,0.84,,6,"[""Software Engineer"", ""Founding Frontend Software Engineer"", ""Solutions Engineer"", ""Product Product Analyst"", ""Product Manager"", ""Product Founding Product Designer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.791695+00:00,"{""career_marker_hits"": 3, ""detail_marker_hits"": 1, ""domain"": ""useagave.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Software Engineer"", ""Founding Frontend Software Engineer"", ""Solutions Engineer"", ""Product Product Analyst"", ""Product Manager"", ""Product Founding Product Designer""], ""title"": ""Careers"", ""url_kind"": ""careers_page""}"
afterquery,AfterQuery,https://www.afterquery.com/careers,job_listing,0.84,,2,"[""Software Engineer"", ""Senior Software Engineer""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.789536+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 1, ""domain"": ""afterquery.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Software Engineer"", ""Senior Software Engineer""], ""title"": ""AfterQuery"", ""url_kind"": ""careers_page""}"
afriex,Afriex,https://www.afriex.com/careers,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.787210+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 5, ""domain"": ""afriex.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers | Afriex Money Transfer App"", ""url_kind"": ""careers_page""}"
aerones,Aerones,https://aerones.com/company-2/careers/,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.786140+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""aerones.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/company-2/careers/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers - Robotic Wind Turbine Care Systems | Aerones"", ""url_kind"": ""careers_page""}"
aella,Aella,https://aellaapp.com/career,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.785085+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 1, ""domain"": ""aellaapp.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/career"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Aella | Career"", ""url_kind"": ""careers_page""}"
adyn,adyn,https://adyn.com/careers/,career_home,0.74,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.783929+00:00,"{""career_marker_hits"": 1, ""detail_marker_hits"": 2, ""domain"": ""adyn.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 0, ""path"": ""/careers/"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Close the medical gender research gap with us | adyn"", ""url_kind"": ""careers_page""}"
advano,Advano,https://www.advano.io/careers,job_listing,0.84,,0,[],200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.783813+00:00,"{""career_marker_hits"": 2, ""detail_marker_hits"": 0, ""domain"": ""advano.io"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [], ""title"": ""Careers | Advano"", ""url_kind"": ""careers_page""}"
aden,Aden,https://adenhq.com/careers,job_listing,0.84,,1,"[""Infrastructure Lead""]",200,deterministic_page_classifier,2026-05-07,2026-05-06 19:58:27.783245+00:00,"{""career_marker_hits"": 3, ""detail_marker_hits"": 3, ""domain"": ""adenhq.com"", ""generic_path"": true, ""is_ats"": false, ""listing_marker_hits"": 1, ""path"": ""/careers"", ""role_like_path"": false, ""role_titles"": [""Infrastructure Lead""], ""title"": ""Careers - Aden"", ""url_kind"": ""careers_page""}"
