id,company_id,company_slug,company_name,company_yc_url,title,url,absolute_url,apply_url,location,type,role,role_specific_type,pretty_role,salary_range,equity_range,min_experience,min_school_year,visa,skills,is_incomplete,created_at,last_active
79466,30293,orbital-operations,Orbital Operations,https://www.ycombinator.com/companies/orbital-operations,Rockstar,/companies/orbital-operations/jobs/pXdVJnm-rockstar,https://www.ycombinator.com/companies/orbital-operations/jobs/pXdVJnm-rockstar,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79466&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30293,"Long Beach, CA, US / Remote (US)",Full-time,eng,Mechanical,Engineering,$100K - $175K,0.10% - 1.00%,3+ years,,US citizen/visa only,Python; CAD Design,False,9 months,
79485,30293,orbital-operations,Orbital Operations,https://www.ycombinator.com/companies/orbital-operations,Fluids Design Engineer - Heat Exchangers,/companies/orbital-operations/jobs/xVWtAj3-fluids-design-engineer-heat-exchangers,https://www.ycombinator.com/companies/orbital-operations/jobs/xVWtAj3-fluids-design-engineer-heat-exchangers,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79485&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30293,"Long Beach, CA, US / Remote (US)",Full-time,eng,Mechanical,Engineering,$100K - $175K,0.10% - 1.00%,3+ years,,US citizen/visa only,Python; CAD Design,False,9 months,
79484,30293,orbital-operations,Orbital Operations,https://www.ycombinator.com/companies/orbital-operations,Turbomachinery Design Engineer,/companies/orbital-operations/jobs/myA1cdk-turbomachinery-design-engineer,https://www.ycombinator.com/companies/orbital-operations/jobs/myA1cdk-turbomachinery-design-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79484&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30293,"Long Beach, CA, US / Remote (US)",Full-time,eng,Mechanical,Engineering,$100K - $175K,0.10% - 1.00%,6+ years,,US citizen/visa only,Python; CAD Design,False,9 months,
79513,30293,orbital-operations,Orbital Operations,https://www.ycombinator.com/companies/orbital-operations,Structures Design Engineer,/companies/orbital-operations/jobs/DAv3sTb-structures-design-engineer,https://www.ycombinator.com/companies/orbital-operations/jobs/DAv3sTb-structures-design-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79513&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30293,"Long Beach, CA, US / Remote (US)",Full-time,eng,Mechanical,Engineering,$100K - $150K,0.10% - 1.00%,3+ years,,US citizen/visa only,,False,9 months,
72981,30295,infinite,Infinite,https://www.ycombinator.com/companies/infinite,Founding Engineer,/companies/infinite/jobs/LqkMhIs-founding-engineer,https://www.ycombinator.com/companies/infinite/jobs/LqkMhIs-founding-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D72981&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30295,"San Francisco, CA, US",Full-time,eng,Full stack,Engineering,$108K - $230K,0.25% - 1.00%,6+ years,,Will sponsor,Go; Python; React; TypeScript,False,about 1 year,
79169,30296,peppr-ai,Peppr AI,https://www.ycombinator.com/companies/peppr-ai,Frontend/Full-Stack Engineer,/companies/peppr-ai/jobs/LV9cj5B-frontend-full-stack-engineer,https://www.ycombinator.com/companies/peppr-ai/jobs/LV9cj5B-frontend-full-stack-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79169&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30296,"Cupertino, CA, US / San Francisco, CA, US",Full-time,eng,Full stack,Engineering,$100K - $150K,0.25% - 1.00%,Any (new grads ok),,US citizen/visa only,Flask; JavaScript; Python; React; Redis,False,10 months,
79167,30296,peppr-ai,Peppr AI,https://www.ycombinator.com/companies/peppr-ai,AI Developer / AI Engineer,/companies/peppr-ai/jobs/ZJhISZP-ai-developer-ai-engineer,https://www.ycombinator.com/companies/peppr-ai/jobs/ZJhISZP-ai-developer-ai-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79167&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30296,"Cupertino, CA, US / San Francisco, CA, US",Full-time,eng,Full stack,Engineering,$100K - $150K,0.25% - 1.00%,Any (new grads ok),,US citizen/visa only,Flask; JavaScript; Python; React; Redis,False,10 months,
79168,30296,peppr-ai,Peppr AI,https://www.ycombinator.com/companies/peppr-ai,Backend Engineer,/companies/peppr-ai/jobs/G5EZKYI-backend-engineer,https://www.ycombinator.com/companies/peppr-ai/jobs/G5EZKYI-backend-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D79168&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30296,"Cupertino, CA, US / San Francisco, CA, US",Full-time,eng,Full stack,Engineering,$100K - $150K,0.25% - 1.00%,Any (new grads ok),,US citizen/visa only,Flask; JavaScript; Python; React; Redis,False,10 months,
92214,30298,artificial-societies,Artificial Societies,https://www.ycombinator.com/companies/artificial-societies,Founding Designer,/companies/artificial-societies/jobs/bNEL08N-founding-designer,https://www.ycombinator.com/companies/artificial-societies/jobs/bNEL08N-founding-designer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D92214&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30298,"London, England, GB",Full-time,design,Product design,Design,£80K - £120K GBP,0.10% - 0.50%,Any (new grads ok),,US citizenship/visa not required,Design systems; Branding; Figma,False,about 2 months,about 2 months
93999,30299,miyagi-labs,Miyagi Labs,https://www.ycombinator.com/companies/miyagi-labs,Content Creator & Growth Intern,/companies/miyagi-labs/jobs/NpR1jxx-content-creator-growth-intern,https://www.ycombinator.com/companies/miyagi-labs/jobs/NpR1jxx-content-creator-growth-intern,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D93999&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30299,"New York, NY, US / Remote (US)",Internship,marketing,,Marketing,$2K - $4.5K / monthly,,,Any,US citizen/visa only,,False,6 days,about 2 hours
